file,steps,details,size
tests\test_bot_phase1.py.bak_old_test,Climate; Plant Selection & Crop Modeling; Optimization & Scenario,"{""Climate"": 1, ""Plant Selection & Crop Modeling"": 1, ""Optimization & Scenario"": 16}",11949
tests\test_bot_phase2.py,Soil; Climate; General/Simulation,"{""Soil"": 5, ""Climate"": 2, ""General/Simulation"": 1}",5575
tests\test_bot_phase2.py.bak_old_test,Soil; Climate; General/Simulation,"{""Soil"": 5, ""Climate"": 2, ""General/Simulation"": 1}",5575
tests\test_copernicus_phase4.py,Land Recognition & GIS,"{""Land Recognition & GIS"": 6}",7794
tests\test_dashboard_api.py,Plant Selection & Crop Modeling,"{""Plant Selection & Crop Modeling"": 1}",1754
tests\test_dashboard_api.py.bak_old_test,Plant Selection & Crop Modeling,"{""Plant Selection & Crop Modeling"": 1}",1748
tests\test_db.py,General/Simulation,"{""General/Simulation"": 1}",684
tests\test_db.py.bak_final_env,General/Simulation,"{""General/Simulation"": 1}",862
tests\test_db.py.bak_pool,General/Simulation,"{""General/Simulation"": 1}",555
tests\test_era5.py,Climate,"{""Climate"": 5}",4195
tests\test_pinn.py,General/Simulation,"{""General/Simulation"": 6}",1179
tests\test_scl_masking.py,Land Recognition & GIS,"{""Land Recognition & GIS"": 7}",6206
tests\test_topography_analysis.py,Land Recognition & GIS; Topography & DEM,"{""Land Recognition & GIS"": 1, ""Topography & DEM"": 6}",1504
alembic\versions\_archived\a9f8e7d6c5b4_mrv_observations_table.py,Economy & Carbon MRV,"{""Economy & Carbon MRV"": 1}",2831
alembic\versions\_archived\b1c2d3e4f5a6_simulation_runs_table.py,Optimization & Scenario; General/Simulation,"{""Optimization & Scenario"": 1, ""General/Simulation"": 1}",1179
alembic\versions\_archived\ed7a1747d8db_phase0_baseline_unified_schema.py,Optimization & Scenario,"{""Optimization & Scenario"": 1}",15886
alembic\versions\_archived\phase1_2_3_complete_v2.py,Soil; Climate; Water Resources,"{""Soil"": 2, ""Climate"": 2, ""Water Resources"": 4}",10564
alembic\versions\_archived\phase3b_water_quality.py,Water Resources; Irrigation & Water Requirement,"{""Water Resources"": 5, ""Irrigation & Water Requirement"": 1}",6591
alembic\versions\_archived\yyy_new_analysis_fixed.py,Water Resources; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Monitoring & Calibration,"{""Water Resources"": 3, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 2, ""Hydraulic & Structure Design"": 1, ""Monitoring & Calibration"": 1}",7623
contracts\src\CarbonCredit.sol,Carbon & RothC; Economy & Carbon MRV,"{""Carbon & RothC"": 2, ""Economy & Carbon MRV"": 1}",5155
data\analysis_results\california_sacramento_analysis.json,Soil; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Soil"": 2, ""Water Resources"": 4, ""Carbon & RothC"": 2, ""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 1}",57996
data\analysis_results\iran_isfahan_analysis.json,Soil; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Soil"": 2, ""Water Resources"": 4, ""Carbon & RothC"": 2, ""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 1}",57923
data\analysis_results\yemen_sanaa_analysis.json,Soil; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Soil"": 2, ""Water Resources"": 4, ""Carbon & RothC"": 2, ""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 1}",58816
data\maps\cache\1106343fee0596945b9c11db34422d9a.json,Land Recognition & GIS; Topography & DEM; Soil; Erosion (RUSLE),"{""Land Recognition & GIS"": 2, ""Topography & DEM"": 1, ""Soil"": 3, ""Erosion (RUSLE)"": 6}",1252
data\maps\cache\2477efe8b8b21d05b80f997299d16ba9.json,Land Recognition & GIS; Soil; Water Resources,"{""Land Recognition & GIS"": 2, ""Soil"": 2, ""Water Resources"": 3}",1204
data\maps\cache\4358d4fdee45d4360ca056541d7eb0e7.json,Land Recognition & GIS; Plant Selection & Crop Modeling,"{""Land Recognition & GIS"": 2, ""Plant Selection & Crop Modeling"": 3}",1488
data\maps\cache\68e8e685f201cdcaf04badb550bb206f.json,Land Recognition & GIS; Soil; Water Resources,"{""Land Recognition & GIS"": 2, ""Soil"": 2, ""Water Resources"": 3}",1205
data\maps\cache\964ef85f50b98a448fc287941965caee.json,Land Recognition & GIS; Topography & DEM,"{""Land Recognition & GIS"": 5, ""Topography & DEM"": 9}",1062
data\maps\cache\d1c71f78b7f0587082f60230dac2b3fd.json,Land Recognition & GIS; Plant Selection & Crop Modeling,"{""Land Recognition & GIS"": 2, ""Plant Selection & Crop Modeling"": 3}",1487
data\maps\cache\dfa6328ab4fbb3ef1ac21cde7a48af22.json,Land Recognition & GIS; Plant Selection & Crop Modeling,"{""Land Recognition & GIS"": 2, ""Plant Selection & Crop Modeling"": 3}",1487
data\maps\cache\e36fd9fd032e0f573c304f19daf7e3a2.json,Land Recognition & GIS; Topography & DEM,"{""Land Recognition & GIS"": 2, ""Topography & DEM"": 5}",1199
data\maps\cache\eb23e8b34fa412c5d0a1bbcde236b19b.json,Land Recognition & GIS; Soil; Water Resources,"{""Land Recognition & GIS"": 2, ""Soil"": 2, ""Water Resources"": 3}",1217
data\maps\M-ERS_58cf8263\metadata.json,Land Recognition & GIS; Topography & DEM; Soil; Erosion (RUSLE),"{""Land Recognition & GIS"": 2, ""Topography & DEM"": 1, ""Soil"": 3, ""Erosion (RUSLE)"": 6}",1254
data\maps\M-ERS_9e8a4043\metadata.json,Land Recognition & GIS; Topography & DEM; Soil; Erosion (RUSLE),"{""Land Recognition & GIS"": 2, ""Topography & DEM"": 1, ""Soil"": 3, ""Erosion (RUSLE)"": 6}",1252
data\maps\M-ERS_edc5eb71\metadata.json,Land Recognition & GIS; Topography & DEM; Soil; Erosion (RUSLE),"{""Land Recognition & GIS"": 2, ""Topography & DEM"": 1, ""Soil"": 3, ""Erosion (RUSLE)"": 6}",1252
data\maps\M-RUN_161021d8\metadata.json,Land Recognition & GIS; Soil; Water Resources,"{""Land Recognition & GIS"": 2, ""Soil"": 2, ""Water Resources"": 3}",1217
data\maps\M-RUN_97ea3b75\metadata.json,Land Recognition & GIS; Soil; Water Resources,"{""Land Recognition & GIS"": 2, ""Soil"": 2, ""Water Resources"": 3}",1205
data\maps\M-RUN_b9379f20\metadata.json,Land Recognition & GIS; Soil; Water Resources,"{""Land Recognition & GIS"": 2, ""Soil"": 2, ""Water Resources"": 3}",1204
data\maps\M-SLP_23f7f9b1\metadata.json,Land Recognition & GIS; Topography & DEM,"{""Land Recognition & GIS"": 2, ""Topography & DEM"": 5}",1199
data\maps\M-SLP_90dff977\metadata.json,Land Recognition & GIS; Topography & DEM,"{""Land Recognition & GIS"": 2, ""Topography & DEM"": 5}",1199
data\maps\M-SLP_ba108539\metadata.json,Land Recognition & GIS; Topography & DEM,"{""Land Recognition & GIS"": 2, ""Topography & DEM"": 5}",1199
data\maps\M-TOP_0b25d85f\metadata.json,Land Recognition & GIS; Topography & DEM,"{""Land Recognition & GIS"": 5, ""Topography & DEM"": 9}",1062
data\maps\M-TOP_1fbdec2f\metadata.json,Land Recognition & GIS; Topography & DEM,"{""Land Recognition & GIS"": 5, ""Topography & DEM"": 9}",1061
data\maps\M-TOP_3d6aeb1b\metadata.json,Land Recognition & GIS; Topography & DEM,"{""Land Recognition & GIS"": 5, ""Topography & DEM"": 9}",1061
data\maps\M-VEG_2c76b1f2_summer\metadata.json,Land Recognition & GIS; Plant Selection & Crop Modeling,"{""Land Recognition & GIS"": 2, ""Plant Selection & Crop Modeling"": 3}",1487
data\maps\M-VEG_523ff3d2_autumn\metadata.json,Land Recognition & GIS; Plant Selection & Crop Modeling,"{""Land Recognition & GIS"": 2, ""Plant Selection & Crop Modeling"": 3}",1487
data\maps\M-VEG_9baa06aa_spring\metadata.json,Land Recognition & GIS; Plant Selection & Crop Modeling,"{""Land Recognition & GIS"": 2, ""Plant Selection & Crop Modeling"": 3}",1487
data\maps\M-VEG_a9e27938_autumn\metadata.json,Land Recognition & GIS; Plant Selection & Crop Modeling,"{""Land Recognition & GIS"": 2, ""Plant Selection & Crop Modeling"": 3}",1488
data\maps\M-VEG_b3bdf24a_summer\metadata.json,Land Recognition & GIS; Plant Selection & Crop Modeling,"{""Land Recognition & GIS"": 2, ""Plant Selection & Crop Modeling"": 3}",1487
data\maps\M-VEG_b614c448_spring\metadata.json,Land Recognition & GIS; Plant Selection & Crop Modeling,"{""Land Recognition & GIS"": 2, ""Plant Selection & Crop Modeling"": 3}",1487
database\models\database_models.py,Land Recognition & GIS; Water Resources; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Monitoring & Calibration,"{""Land Recognition & GIS"": 2, ""Water Resources"": 3, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 2, ""Hydraulic & Structure Design"": 1, ""Monitoring & Calibration"": 1}",4416
docs\en\00_master_plan.md,Land Recognition & GIS; Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Optimization & Scenario; Economy & Carbon MRV; Livelihood & Rural Development; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 1, ""Soil"": 2, ""Climate"": 2, ""Water Resources"": 3, ""Carbon & RothC"": 6, ""Plant Selection & Crop Modeling"": 2, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 3, ""Livelihood & Rural Development"": 3, ""Monitoring & Calibration"": 1, ""General/Simulation"": 2}",2328
docs\en\01_architecture.md,Land Recognition & GIS; Soil; Climate; Water Resources; Erosion (RUSLE); Plant Selection & Crop Modeling; Irrigation & Water Requirement; Economy & Carbon MRV; Livelihood & Rural Development; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 1, ""Soil"": 3, ""Climate"": 3, ""Water Resources"": 1, ""Erosion (RUSLE)"": 2, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1, ""Economy & Carbon MRV"": 1, ""Livelihood & Rural Development"": 1, ""Monitoring & Calibration"": 2, ""General/Simulation"": 1}",2179
docs\en\02_hydroma_engine.md,Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Optimization & Scenario; Economy & Carbon MRV; General/Simulation,"{""Soil"": 8, ""Climate"": 7, ""Water Resources"": 5, ""Erosion (RUSLE)"": 7, ""Carbon & RothC"": 3, ""Plant Selection & Crop Modeling"": 9, ""Irrigation & Water Requirement"": 5, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 5}",5154
docs\en\03_eco_nojin_platform.md,Topography & DEM; Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Optimization & Scenario; Economy & Carbon MRV; Livelihood & Rural Development; Monitoring & Calibration; General/Simulation,"{""Topography & DEM"": 1, ""Soil"": 6, ""Climate"": 4, ""Water Resources"": 4, ""Carbon & RothC"": 4, ""Plant Selection & Crop Modeling"": 4, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 1, ""Livelihood & Rural Development"": 2, ""Monitoring & Calibration"": 1, ""General/Simulation"": 2}",3267
docs\en\04_data_model.md,Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Economy & Carbon MRV; General/Simulation,"{""Soil"": 1, ""Climate"": 2, ""Water Resources"": 2, ""Carbon & RothC"": 5, ""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 1, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 1}",3141
docs\en\05_standards.md,Land Recognition & GIS; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Economy & Carbon MRV,"{""Land Recognition & GIS"": 1, ""Soil"": 3, ""Climate"": 4, ""Water Resources"": 1, ""Erosion (RUSLE)"": 2, ""Carbon & RothC"": 3, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1, ""Economy & Carbon MRV"": 1}",2292
docs\en\06_security_privacy.md,Carbon & RothC; Economy & Carbon MRV; General/Simulation,"{""Carbon & RothC"": 2, ""Economy & Carbon MRV"": 3, ""General/Simulation"": 1}",2901
docs\en\07_i18n_localization.md,Livelihood & Rural Development,"{""Livelihood & Rural Development"": 2}",1913
docs\en\08_deployment_operations.md,Land Recognition & GIS; Carbon & RothC; Economy & Carbon MRV; General/Simulation,"{""Land Recognition & GIS"": 1, ""Carbon & RothC"": 1, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 3}",2693
docs\en\09_roadmap.md,Land Recognition & GIS; Soil; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Optimization & Scenario; Economy & Carbon MRV; General/Simulation,"{""Land Recognition & GIS"": 1, ""Soil"": 2, ""Water Resources"": 4, ""Erosion (RUSLE)"": 1, ""Carbon & RothC"": 6, ""Plant Selection & Crop Modeling"": 3, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 1}",3659
docs\en\10_quality_standards.md,Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; General/Simulation,"{""Soil"": 1, ""Climate"": 2, ""Water Resources"": 4, ""Erosion (RUSLE)"": 2, ""Carbon & RothC"": 7, ""Plant Selection & Crop Modeling"": 3, ""Irrigation & Water Requirement"": 1, ""Hydraulic & Structure Design"": 3, ""General/Simulation"": 7}",20119
docs\en\11_weaknesses_and_fixes.md,Soil; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Soil"": 1, ""Water Resources"": 2, ""Carbon & RothC"": 14, ""Plant Selection & Crop Modeling"": 3, ""Irrigation & Water Requirement"": 3, ""General/Simulation"": 7}",13768
docs\en\12_30_year_strategy.md,Land Recognition & GIS; Soil; Climate; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Optimization & Scenario; Economy & Carbon MRV; General/Simulation,"{""Land Recognition & GIS"": 2, ""Soil"": 1, ""Climate"": 4, ""Erosion (RUSLE)"": 1, ""Carbon & RothC"": 6, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 5, ""General/Simulation"": 4}",13112
docs\en\14_telegram_bot.md,Soil; General/Simulation,"{""Soil"": 2, ""General/Simulation"": 3}",3252
docs\en\15_multiplatform_bots.md,Soil; Climate; Livelihood & Rural Development; General/Simulation,"{""Soil"": 3, ""Climate"": 1, ""Livelihood & Rural Development"": 1, ""General/Simulation"": 2}",3495
docs\en\16_phase4_copernicus.md,Land Recognition & GIS; Climate; Water Resources; Plant Selection & Crop Modeling; General/Simulation,"{""Land Recognition & GIS"": 3, ""Climate"": 11, ""Water Resources"": 1, ""Plant Selection & Crop Modeling"": 2, ""General/Simulation"": 1}",8447
docs\en\17_admin_panel.md,Climate; Carbon & RothC; General/Simulation,"{""Climate"": 1, ""Carbon & RothC"": 2, ""General/Simulation"": 12}",9267
docs\en\18_phase6_content_production.md,General/Simulation,"{""General/Simulation"": 1}",4927
docs\en\19_phase7_models.md,Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; General/Simulation,"{""Soil"": 2, ""Climate"": 7, ""Water Resources"": 1, ""Erosion (RUSLE)"": 3, ""Carbon & RothC"": 4, ""Plant Selection & Crop Modeling"": 7, ""Irrigation & Water Requirement"": 2, ""Hydraulic & Structure Design"": 1, ""General/Simulation"": 9}",7353
docs\en\20_phase8_token_carbon.md,Carbon & RothC; Economy & Carbon MRV,"{""Carbon & RothC"": 8, ""Economy & Carbon MRV"": 1}",1880
docs\en\21_frontend_component_spec.md,Land Recognition & GIS; Water Resources; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 5, ""Water Resources"": 1, ""Monitoring & Calibration"": 2, ""General/Simulation"": 5}",4575
docs\en\22_implementation_report.md,Carbon & RothC; Economy & Carbon MRV; General/Simulation,"{""Carbon & RothC"": 1, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 4}",6086
docs\en\22_research_ag_science.md,Topography & DEM; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Topography & DEM"": 1, ""Soil"": 6, ""Climate"": 2, ""Water Resources"": 4, ""Erosion (RUSLE)"": 3, ""Carbon & RothC"": 2, ""Plant Selection & Crop Modeling"": 14, ""Irrigation & Water Requirement"": 4, ""Hydraulic & Structure Design"": 3, ""Economy & Carbon MRV"": 1, ""Monitoring & Calibration"": 7, ""General/Simulation"": 1}",4775
docs\en\23_research_frontend_assets.md,Climate,"{""Climate"": 7}",3589
docs\en\24_project_deep_study.md,Soil; Climate; Erosion (RUSLE); Carbon & RothC,"{""Soil"": 1, ""Climate"": 1, ""Erosion (RUSLE)"": 1, ""Carbon & RothC"": 1}",3157
docs\en\25_development_proposals.md,Topography & DEM; Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Topography & DEM"": 1, ""Soil"": 1, ""Climate"": 1, ""Water Resources"": 2, ""Carbon & RothC"": 3, ""Plant Selection & Crop Modeling"": 4, ""Irrigation & Water Requirement"": 1, ""Hydraulic & Structure Design"": 1, ""Economy & Carbon MRV"": 1, ""Monitoring & Calibration"": 3, ""General/Simulation"": 2}",4241
docs\en\25_phase9_10_completion.md,Land Recognition & GIS; General/Simulation,"{""Land Recognition & GIS"": 1, ""General/Simulation"": 7}",3862
docs\en\26_field_pilot_protocol.md,Soil; Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Soil"": 2, ""Plant Selection & Crop Modeling"": 4, ""Irrigation & Water Requirement"": 1}",1882
docs\en\26_gap_analysis_vs_pdf.md,Land Recognition & GIS; Topography & DEM; Soil; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 3, ""Topography & DEM"": 1, ""Soil"": 1, ""Water Resources"": 1, ""Erosion (RUSLE)"": 3, ""Carbon & RothC"": 6, ""Plant Selection & Crop Modeling"": 5, ""Irrigation & Water Requirement"": 6, ""Hydraulic & Structure Design"": 4, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 4, ""Monitoring & Calibration"": 2, ""General/Simulation"": 4}",3625
docs\en\27_implementation_plan.md,Land Recognition & GIS; Soil; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 2, ""Soil"": 9, ""Water Resources"": 2, ""Erosion (RUSLE)"": 3, ""Carbon & RothC"": 10, ""Plant Selection & Crop Modeling"": 8, ""Irrigation & Water Requirement"": 7, ""Hydraulic & Structure Design"": 3, ""Economy & Carbon MRV"": 6, ""Monitoring & Calibration"": 5, ""General/Simulation"": 6}",5299
docs\en\28_phase3_kickoff.md,Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Erosion (RUSLE)"": 3, ""Carbon & RothC"": 4, ""Plant Selection & Crop Modeling"": 8, ""Irrigation & Water Requirement"": 7, ""Hydraulic & Structure Design"": 5, ""Economy & Carbon MRV"": 2, ""Monitoring & Calibration"": 1, ""General/Simulation"": 6}",1884
docs\en\29_phase2_completion.md,Land Recognition & GIS; Economy & Carbon MRV; General/Simulation,"{""Land Recognition & GIS"": 2, ""Economy & Carbon MRV"": 7, ""General/Simulation"": 1}",3088
docs\en\30_sprint1_simulation.md,Climate; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Monitoring & Calibration; General/Simulation,"{""Climate"": 8, ""Erosion (RUSLE)"": 3, ""Carbon & RothC"": 10, ""Plant Selection & Crop Modeling"": 14, ""Irrigation & Water Requirement"": 7, ""Hydraulic & Structure Design"": 2, ""Optimization & Scenario"": 2, ""Monitoring & Calibration"": 1, ""General/Simulation"": 14}",2622
docs\en\31_sprint2_simulation.md,Climate; Carbon & RothC; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Climate"": 1, ""Carbon & RothC"": 8, ""Hydraulic & Structure Design"": 2, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 1, ""Monitoring & Calibration"": 4, ""General/Simulation"": 8}",2737
docs\en\32_sprint2_weather_swat.md,Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Economy & Carbon MRV; General/Simulation,"{""Climate"": 10, ""Water Resources"": 2, ""Carbon & RothC"": 1, ""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 2, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 2}",2124
docs\en\99_conversation_summary.md,Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Optimization & Scenario; Economy & Carbon MRV; Livelihood & Rural Development; Monitoring & Calibration; General/Simulation,"{""Soil"": 2, ""Climate"": 1, ""Water Resources"": 3, ""Erosion (RUSLE)"": 1, ""Carbon & RothC"": 3, ""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 1, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 1, ""Livelihood & Rural Development"": 3, ""Monitoring & Calibration"": 1, ""General/Simulation"": 1}",1922
docs\fa\00_master_plan.md,Soil; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; Livelihood & Rural Development; Monitoring & Calibration; General/Simulation,"{""Soil"": 2, ""Water Resources"": 2, ""Carbon & RothC"": 4, ""Plant Selection & Crop Modeling"": 2, ""Hydraulic & Structure Design"": 1, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 4, ""Livelihood & Rural Development"": 2, ""Monitoring & Calibration"": 1, ""General/Simulation"": 3}",3514
docs\fa\01_architecture.md,Topography & DEM; Soil; Climate; Water Resources; Erosion (RUSLE); Plant Selection & Crop Modeling; Irrigation & Water Requirement; Economy & Carbon MRV; General/Simulation,"{""Topography & DEM"": 1, ""Soil"": 3, ""Climate"": 3, ""Water Resources"": 1, ""Erosion (RUSLE)"": 2, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 1}",3538
docs\fa\02_hydroma_engine.md,Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; General/Simulation,"{""Soil"": 8, ""Climate"": 7, ""Water Resources"": 2, ""Erosion (RUSLE)"": 7, ""Carbon & RothC"": 3, ""Plant Selection & Crop Modeling"": 4, ""Irrigation & Water Requirement"": 3, ""Hydraulic & Structure Design"": 1, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 6}",6747
docs\fa\03_eco_nojin_platform.md,Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Optimization & Scenario; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Soil"": 7, ""Climate"": 3, ""Water Resources"": 2, ""Erosion (RUSLE)"": 1, ""Carbon & RothC"": 3, ""Plant Selection & Crop Modeling"": 3, ""Optimization & Scenario"": 3, ""Economy & Carbon MRV"": 2, ""Monitoring & Calibration"": 1, ""General/Simulation"": 3}",4812
docs\fa\04_data_model.md,Land Recognition & GIS; Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Economy & Carbon MRV; General/Simulation,"{""Land Recognition & GIS"": 1, ""Soil"": 1, ""Climate"": 3, ""Water Resources"": 1, ""Carbon & RothC"": 5, ""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 1, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 2}",4311
docs\fa\05_standards.md,Soil; Climate; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Economy & Carbon MRV; General/Simulation,"{""Soil"": 2, ""Climate"": 3, ""Erosion (RUSLE)"": 2, ""Carbon & RothC"": 3, ""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 1, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 1}",3469
docs\fa\06_security_privacy.md,Land Recognition & GIS; Carbon & RothC; Economy & Carbon MRV; General/Simulation,"{""Land Recognition & GIS"": 1, ""Carbon & RothC"": 2, ""Economy & Carbon MRV"": 3, ""General/Simulation"": 2}",4465
docs\fa\07_i18n_localization.md,Livelihood & Rural Development; General/Simulation,"{""Livelihood & Rural Development"": 1, ""General/Simulation"": 2}",2711
docs\fa\08_deployment_operations.md,Climate; Carbon & RothC; Economy & Carbon MRV; General/Simulation,"{""Climate"": 1, ""Carbon & RothC"": 1, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 3}",3748
docs\fa\09_roadmap.md,Land Recognition & GIS; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; General/Simulation,"{""Land Recognition & GIS"": 1, ""Soil"": 2, ""Climate"": 1, ""Water Resources"": 3, ""Erosion (RUSLE)"": 1, ""Carbon & RothC"": 6, ""Plant Selection & Crop Modeling"": 2, ""Hydraulic & Structure Design"": 1, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 4, ""General/Simulation"": 4}",5528
docs\fa\10_quality_standards.md,Land Recognition & GIS; Topography & DEM; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; General/Simulation,"{""Land Recognition & GIS"": 2, ""Topography & DEM"": 1, ""Soil"": 1, ""Climate"": 2, ""Water Resources"": 4, ""Erosion (RUSLE)"": 2, ""Carbon & RothC"": 7, ""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 1, ""Hydraulic & Structure Design"": 2, ""General/Simulation"": 7}",28262
docs\fa\11_weaknesses_and_fixes.md,Land Recognition & GIS; Topography & DEM; Soil; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Land Recognition & GIS"": 7, ""Topography & DEM"": 1, ""Soil"": 1, ""Water Resources"": 2, ""Carbon & RothC"": 14, ""Plant Selection & Crop Modeling"": 4, ""Irrigation & Water Requirement"": 2, ""General/Simulation"": 6}",17866
